Date;Price;Open;High;Low;Vol.;Change %
Jan 02, 2019;7,149.27;7259.49;7,266.47;7,136.95;6.28B;-1.25%
Dec 28, 2018;7,239.79;7229.87;7,282.50;7,174.90;6.74B;0.34%
Dec 27, 2018;7,215.34;7402.60;7,415.92;7,215.34;7.40B;-1.02%
Dec 26, 2018;7,289.55;7323.99;7,369.84;7,277.56;6.08B;-0.58%
Dec 25, 2018;7,332.35;7308.61;7,362.07;7,180.08;8.00B;-0.81%
Dec 24, 2018;7,392.56;7315.26;7,393.71;7,293.15;5.77B;0.75%
Dec 21, 2018;7,337.60;7399.15;7,405.27;7,283.76;7.23B;-1.20%
Dec 20, 2018;7,426.44;7402.20;7,445.05;7,363.77;6.17B;0.10%
Dec 19, 2018;7,418.69;7541.50;7,548.72;7,407.46;5.68B;-1.48%
Dec 18, 2018;7,530.32;7540.96;7,609.39;7,473.45;6.33B;-0.82%
Dec 17, 2018;7,592.65;7599.01;7,618.68;7,515.46;6.53B;-0.48%
Dec 14, 2018;7,629.65;7785.29;7,792.74;7,624.72;8.13B;-2.28%
Dec 13, 2018;7,808.04;7717.47;7,849.66;7,679.02;8.17B;1.43%
Dec 12, 2018;7,698.02;7721.82;7,737.24;7,675.26;6.02B;0.16%
Dec 11, 2018;7,685.40;7642.16;7,685.40;7,628.15;6.15B;0.79%
Dec 10, 2018;7,624.86;7663.26;7,698.53;7,606.00;6.86B;-1.41%
Dec 07, 2018;7,733.89;7741.73;7,765.14;7,712.27;6.34B;-0.01%
Dec 06, 2018;7,735.05;7854.59;7,872.45;7,725.99;8.41B;-2.44%
Dec 05, 2018;7,928.51;7825.12;7,972.98;7,808.74;8.98B;-0.32%
Dec 04, 2018;7,953.72;7916.55;7,954.31;7,890.66;8.66B;0.19%
Dec 03, 2018;7,938.47;7901.83;7,968.09;7,835.23;12.06B;3.34%
Nov 30, 2018;7,681.75;7583.84;7,688.88;7,537.92;7.72B;1.12%
Nov 29, 2018;7,597.01;7800.57;7,820.45;7,597.01;9.10B;-2.06%
Nov 28, 2018;7,757.07;7633.37;7,757.07;7,572.65;9.17B;1.60%
Nov 27, 2018;7,635.16;7657.80;7,682.76;7,589.00;6.95B;0.25%
Nov 26, 2018;7,615.91;7627.40;7,682.20;7,586.60;7.07B;-0.27%
Nov 23, 2018;7,636.70;7882.85;7,889.13;7,616.47;10.71B;-3.26%
Nov 22, 2018;7,893.99;7929.79;7,950.97;7,857.81;8.82B;-0.18%
Nov 21, 2018;7,908.47;7786.78;7,919.07;7,776.56;10.15B;0.37%
Nov 20, 2018;7,879.52;8031.36;8,054.24;7,870.41;12.47B;-2.83%
Nov 19, 2018;8,108.85;8050.55;8,108.85;8,014.57;12.73B;0.58%
Nov 16, 2018;8,062.29;8003.47;8,116.73;7,959.14;13.77B;0.75%
Nov 15, 2018;8,002.10;7889.92;8,002.10;7,884.34;11.53B;1.18%
Nov 14, 2018;7,908.55;7942.08;7,990.45;7,894.21;12.76B;-0.69%
Nov 13, 2018;7,963.66;7733.11;8,008.11;7,718.68;15.60B;1.68%
Nov 12, 2018;7,832.29;7634.82;7,832.82;7,622.47;10.73B;2.40%
Nov 09, 2018;7,648.55;7650.17;7,705.26;7,626.17;8.28B;-0.64%
Nov 08, 2018;7,698.02;7813.63;7,823.60;7,692.34;8.45B;-0.70%
Nov 07, 2018;7,752.04;7783.13;7,871.17;7,745.39;9.67B;-0.50%
Nov 06, 2018;7,791.25;7807.09;7,807.09;7,701.51;8.86B;-0.61%
Nov 05, 2018;7,839.08;7831.82;7,895.54;7,733.14;11.31B;-0.36%
Nov 02, 2018;7,867.54;7763.49;7,867.54;7,709.44;13.05B;3.96%
Nov 01, 2018;7,567.79;7568.20;7,689.57;7,558.40;11.35B;1.14%
Oct 31, 2018;7,482.83;7385.98;7,526.60;7,373.75;8.82B;1.46%
Oct 30, 2018;7,375.23;7271.96;7,451.66;7,189.35;9.47B;0.72%
Oct 29, 2018;7,322.24;7449.64;7,450.38;7,290.82;7.43B;-2.43%
Oct 26, 2018;7,504.72;7582.77;7,621.38;7,476.13;8.73B;-0.33%
Oct 25, 2018;7,529.41;7334.52;7,543.11;7,305.77;8.98B;-0.21%
Oct 24, 2018;7,545.11;7531.60;7,653.24;7,484.63;8.47B;-0.39%
Oct 23, 2018;7,574.99;7752.18;7,769.52;7,523.07;10.16B;-2.24%
Oct 22, 2018;7,748.82;7464.92;7,816.82;7,464.92;12.65B;4.89%
Oct 19, 2018;7,387.74;7097.04;7,390.92;7,084.44;9.08B;2.79%
Oct 18, 2018;7,187.49;7309.00;7,316.19;7,182.39;7.42B;-2.41%
Oct 17, 2018;7,365.21;7390.69;7,419.21;7,206.34;8.12B;0.91%
Oct 16, 2018;7,298.98;7444.94;7,493.15;7,263.29;7.30B;-1.95%
Oct 15, 2018;7,444.48;7571.71;7,622.03;7,430.96;7.26B;-1.51%
Oct 12, 2018;7,558.28;7484.86;7,595.93;7,331.81;9.85B;0.45%
Oct 11, 2018;7,524.09;7753.03;7,803.29;7,481.89;11.20B;-6.07%
Oct 10, 2018;8,010.69;8062.46;8,090.22;7,952.13;6.15B;-0.44%
Oct 09, 2018;8,046.39;8083.23;8,132.15;8,013.19;5.91B;-0.18%
Oct 08, 2018;8,060.83;8225.84;8,249.39;8,055.98;7.74B;-4.05%
Sep 28, 2018;8,401.09;8351.63;8,405.98;8,317.48;6.81B;0.80%
Sep 27, 2018;8,334.75;8411.18;8,434.87;8,331.78;7.80B;-1.02%
Sep 26, 2018;8,420.54;8369.52;8,485.68;8,344.72;8.33B;0.80%
Sep 25, 2018;8,353.38;8336.75;8,390.65;8,311.93;6.40B;-0.66%
Sep 21, 2018;8,409.18;8258.02;8,419.47;8,216.68;8.79B;2.13%
Sep 20, 2018;8,233.89;8241.70;8,295.13;8,218.38;7.09B;-0.17%
Sep 19, 2018;8,248.12;8111.24;8,313.62;8,097.23;8.90B;1.41%
Sep 18, 2018;8,133.22;7970.45;8,133.90;7,958.52;7.12B;1.67%
Sep 17, 2018;7,999.35;8068.06;8,074.79;7,977.44;6.36B;-1.41%
Sep 14, 2018;8,113.88;8173.56;8,180.70;8,090.40;7.35B;-0.61%
Sep 13, 2018;8,163.76;8196.21;8,227.20;8,038.12;7.40B;0.65%
Sep 12, 2018;8,111.16;8162.17;8,196.86;8,095.01;5.73B;-0.70%
Sep 11, 2018;8,168.10;8155.95;8,216.62;8,112.00;6.19B;0.12%
Sep 10, 2018;8,158.49;8310.46;8,311.91;8,155.35;7.10B;-1.97%
Sep 07, 2018;8,322.36;8344.57;8,462.39;8,270.40;7.34B;-0.02%
Sep 06, 2018;8,324.16;8369.30;8,450.89;8,295.48;6.55B;-0.93%
Sep 05, 2018;8,402.51;8519.57;8,536.84;8,402.51;7.89B;-1.78%
Sep 04, 2018;8,554.44;8454.14;8,573.20;8,420.88;7.86B;1.17%
Sep 03, 2018;8,455.55;8440.95;8,459.95;8,344.93;7.21B;-0.12%
Aug 31, 2018;8,465.47;8509.27;8,536.06;8,425.35;6.62B;-1.02%
Aug 30, 2018;8,552.80;8666.90;8,701.04;8,543.79;7.64B;-1.45%
Aug 29, 2018;8,678.26;8716.82;8,724.81;8,649.73;7.47B;-0.64%
Aug 28, 2018;8,733.75;8731.64;8,758.71;8,693.52;7.46B;0.06%
Aug 27, 2018;8,728.56;8511.37;8,728.56;8,511.37;8.56B;2.87%
Aug 24, 2018;8,484.74;8480.22;8,544.25;8,438.08;6.13B;-0.20%
Aug 23, 2018;8,501.39;8446.98;8,543.42;8,411.74;6.61B;0.55%
Aug 22, 2018;8,454.75;8533.43;8,533.43;8,440.58;5.68B;-1.10%
Aug 21, 2018;8,549.06;8419.79;8,561.79;8,396.58;7.13B;1.60%
Aug 20, 2018;8,414.15;8355.00;8,414.15;8,241.14;7.14B;0.68%
Aug 17, 2018;8,357.04;8573.57;8,597.79;8,341.10;6.87B;-1.69%
Aug 16, 2018;8,500.42;8470.91;8,628.91;8,408.00;7.09B;-0.94%
Aug 15, 2018;8,581.18;8786.35;8,786.35;8,567.23;7.13B;-2.32%
Aug 14, 2018;8,784.90;8832.27;8,843.57;8,752.76;6.41B;-0.68%
Aug 13, 2018;8,844.86;8712.12;8,855.62;8,676.21;7.52B;0.36%
Aug 10, 2018;8,813.49;8752.94;8,839.29;8,742.40;7.02B;0.70%
Aug 09, 2018;8,752.20;8475.79;8,797.58;8,460.43;9.35B;2.98%
Aug 08, 2018;8,499.22;8654.55;8,665.39;8,498.21;7.23B;-2.02%
Aug 07, 2018;8,674.03;8453.55;8,674.03;8,379.70;7.79B;2.98%
Aug 06, 2018;8,422.84;8582.43;8,638.37;8,374.40;7.04B;-2.08%
Aug 03, 2018;8,602.12;8767.56;8,807.95;8,602.12;6.72B;-2.03%
Aug 02, 2018;8,780.56;8971.71;8,971.71;8,613.84;9.87B;-2.50%
Aug 01, 2018;9,005.37;9205.75;9,235.74;9,005.37;8.06B;-1.89%
Jul 31, 2018;9,178.78;9168.83;9,216.73;9,132.08;6.45B;-0.03%
Jul 30, 2018;9,181.94;9289.36;9,309.44;9,139.74;7.48B;-1.23%
Jul 27, 2018;9,295.93;9344.75;9,363.17;9,270.35;7.47B;-0.60%
Jul 26, 2018;9,352.25;9467.56;9,488.39;9,331.45;9.56B;-1.18%
Jul 25, 2018;9,463.76;9475.72;9,514.94;9,436.99;9.96B;-0.02%
Jul 24, 2018;9,465.80;9316.65;9,491.24;9,313.17;12.29B;1.63%
Jul 23, 2018;9,314.30;9188.47;9,314.30;9,160.05;9.89B;0.68%
Jul 20, 2018;9,251.48;9141.51;9,277.95;9,055.86;8.41B;1.12%
Jul 19, 2018;9,148.78;9214.90;9,266.93;9,116.45;6.91B;-0.51%
Jul 18, 2018;9,195.24;9293.20;9,335.09;9,195.24;7.48B;-0.97%
Jul 17, 2018;9,285.16;9307.66;9,307.66;9,175.66;6.91B;-0.35%
Jul 16, 2018;9,317.36;9322.97;9,366.21;9,278.07;7.45B;-0.10%
Jul 13, 2018;9,326.97;9288.47;9,344.65;9,270.20;8.40B;0.58%
Jul 12, 2018;9,273.61;9019.96;9,312.37;9,019.96;10.22B;2.77%
Jul 11, 2018;9,023.82;9024.72;9,092.88;8,916.98;7.71B;-1.97%
