Date,SSEC.Close,SSEC.Open,SSEC.High,SSEC.Low,SSEC.Volume
2018-12-06,2605.18,2629.82,2633.68,2603.13,14170000
2018-12-05,2649.81,2629.83,2660.39,2625.91,15450000
2018-12-04,2665.96,2651.56,2666.08,2644.9,16790000
2018-12-03,2654.8,2647.13,2665.3,2629.18,20750000
2018-11-30,2588.19,2564.56,2590.21,2555.32,13930000
2018-11-29,2567.44,2613.78,2617.55,2567.44,15720000
2018-11-28,2601.74,2575.45,2601.96,2561.56,14600000
2018-11-27,2574.68,2585.83,2592.54,2566.17,12370000
2018-11-26,2575.81,2580.84,2595,2568.04,13430000
2018-11-23,2579.48,2640.67,2642.04,2577.35,19150000
2018-11-22,2645.43,2655.9,2658,2634.48,14930000
2018-11-21,2651.51,2619.82,2653.8,2617.78,18260000
2018-11-20,2645.85,2684.29,2690.83,2643.36,21590000
2018-11-19,2703.51,2681.9,2703.51,2674.18,23170000
2018-11-16,2679.11,2669.78,2695.57,2657.03,24220000
2018-11-15,2668.17,2632.14,2668.17,2631.89,20780000
2018-11-14,2632.24,2648.31,2658.31,2627.96,23840000
2018-11-13,2654.88,2600.5,2666.49,2597.35,24930000
2018-11-12,2630.52,2593.2,2631.17,2590.21,17500000
2018-11-09,2598.87,2621.24,2621.24,2598.16,15240000
2018-11-08,2635.63,2660.09,2662.37,2632.3,15960000
2018-11-07,2641.34,2659.84,2675.68,2639.25,17320000
2018-11-06,2659.36,2660.72,2660.86,2635.32,16370000
2018-11-05,2665.43,2665.43,2673.19,2639.27,19380000
2018-11-02,2676.48,2649.25,2676.48,2628.87,22500000
2018-11-01,2606.24,2617.03,2636.8,2603.65,20090000
2018-10-31,2602.78,2573.01,2612.92,2567.03,18060000
2018-10-30,2568.05,2538.57,2586.92,2521.78,16670000
2018-10-29,2542.1,2593.59,2595.54,2529.19,13420000
2018-10-26,2598.85,2610.9,2626.12,2580.85,15890000
2018-10-25,2603.8,2540.93,2606.1,2531.53,16200000
2018-10-24,2603.3,2579.97,2640.4,2577.77,16010000
2018-10-23,2594.83,2652.65,2659.81,2583.26,17830000
2018-10-22,2654.88,2565.64,2675.41,2565.64,21190000
2018-10-19,2550.47,2460.08,2553.39,2449.2,14730000
2018-10-18,2486.42,2544.91,2544.91,2485.62,12540000
2018-10-17,2561.61,2574.31,2582.55,2517.57,13000000
2018-10-16,2546.33,2567.76,2597.72,2536.44,11940000
2018-10-15,2568.1,2605.91,2611.97,2564.74,11860000
2018-10-12,2606.91,2574.04,2615.92,2536.67,17010000
2018-10-11,2583.46,2643.07,2661.29,2560.32,19720000
2018-10-10,2725.84,2723.72,2743.55,2703.06,11350000
2018-10-09,2721.01,2713.73,2734.31,2711.2,11680000
2018-10-08,2716.51,2768.21,2771.94,2710.18,14950000
2018-09-28,2821.35,2794.26,2821.76,2791.84,13430000
2018-09-27,2791.77,2805.79,2810.51,2786.32,12400000
2018-09-26,2806.81,2785.32,2827.34,2783.34,13960000
2018-09-25,2781.14,2775.07,2790.03,2771.16,11200000
2018-09-21,2797.48,2733.87,2797.49,2722.03,15800000
2018-09-20,2729.24,2732.17,2743.96,2724.08,11140000
2018-09-19,2730.85,2694.8,2746.08,2690.99,14150000
2018-09-18,2699.95,2644.3,2700.19,2644.3,11580000
2018-09-17,2651.79,2671.29,2671.29,2647.92,8820000
2018-09-14,2681.64,2688.78,2694.92,2675.29,10000000
2018-09-13,2686.58,2679.21,2689.06,2653.19,10730000
2018-09-12,2656.11,2659.74,2672.07,2647.17,9000000
2018-09-11,2664.8,2668.49,2680.57,2652.7,9990000
2018-09-10,2669.48,2698.01,2703.43,2667.32,10360000
2018-09-07,2702.3,2696.68,2728.55,2683.72,10750000
2018-09-06,2691.59,2697.58,2719.41,2683.74,9900000
2018-09-05,2704.34,2741.38,2745.47,2704.34,10500000
2018-09-04,2750.58,2720.65,2756.61,2712.38,10900000
2018-09-03,2720.73,2716.4,2722.85,2692.36,10220000
2018-08-31,2725.25,2730.11,2744.63,2710.54,10980000
2018-08-30,2737.74,2769.33,2780.53,2736.35,10610000
2018-08-29,2769.29,2774.86,2778.54,2762.35,10020000
2018-08-28,2777.98,2782.29,2791.39,2769.4,11870000
2018-08-27,2780.9,2736.32,2780.9,2736.32,13280000
2018-08-24,2729.43,2717.08,2748.82,2705.32,10050000
2018-08-23,2724.62,2714.87,2736.01,2700.8,9840000
2018-08-22,2714.61,2731.96,2731.96,2709.06,9370000
2018-08-21,2733.83,2700.34,2739.17,2696.29,11360000
2018-08-20,2698.47,2673.07,2698.47,2653.11,11080000
2018-08-17,2668.97,2723.89,2730.33,2665.59,11240000
2018-08-16,2705.19,2691.43,2732.95,2672.74,12030000
2018-08-15,2723.26,2777.25,2777.7,2721.24,11620000
2018-08-14,2780.96,2780.74,2789.44,2766.57,10960000
2018-08-13,2785.87,2769.02,2789.8,2742.56,12750000
2018-08-10,2795.31,2791.4,2806.11,2777.51,12150000
2018-08-09,2794.38,2729.58,2801.66,2726.22,15170000
2018-08-08,2744.07,2771.13,2779.91,2741.07,14770000
2018-08-07,2779.37,2711.74,2779.37,2696.04,14960000
2018-08-06,2705.16,2736.53,2760.47,2692.32,12980000
2018-08-03,2740.44,2763.4,2777.66,2740.43,12700000
2018-08-02,2768.02,2815.34,2815.34,2726.48,17420000
2018-08-01,2824.53,2882.51,2897.4,2823.93,14950000
2018-07-31,2876.4,2866.9,2884.68,2854.32,11890000
2018-07-30,2869.05,2871.94,2896.01,2850.3,15170000
2018-07-27,2873.59,2879.69,2889.69,2864.11,14640000
2018-07-26,2882.23,2905.79,2915.3,2875.7,16840000
2018-07-25,2903.65,2911.45,2912.31,2894.04,16780000
2018-07-24,2905.56,2862.27,2911.46,2862.27,22960000
2018-07-23,2859.54,2815.2,2863.57,2809.62,17340000
2018-07-20,2829.27,2769.75,2837.86,2753.84,14590000
2018-07-19,2772.55,2791.02,2805.01,2764.49,11450000
2018-07-18,2787.26,2801.78,2818.4,2786.04,12100000
2018-07-17,2798.13,2806.89,2806.92,2774.76,10540000
2018-07-16,2814.04,2827.08,2837.51,2804.49,10780000
2018-07-13,2831.18,2831.43,2835.46,2818.85,11770000
2018-07-12,2837.66,2771.04,2844.19,2771.04,14700000
2018-07-11,2777.77,2780.7,2794.36,2752.43,12680000
2018-07-10,2827.63,2819.71,2828.49,2800.63,11710000
2018-07-09,2815.11,2752.45,2815.79,2752.45,12150000
2018-07-06,2747.23,2731.35,2768.87,2691.02,13630000
2018-07-05,2733.88,2755.34,2777.52,2727.94,12920000
2018-07-04,2759.13,2776.63,2793.18,2754.16,12330000
2018-07-03,2786.89,2774.57,2786.89,2722.45,14250000
2018-07-02,2775.56,2841.58,2845.68,2756.82,13700000
2018-06-29,2847.42,2789.81,2848.37,2782.38,12570000
2018-06-28,2786.9,2799.9,2825.99,2782.45,11840000
2018-06-27,2813.18,2842.4,2854.26,2798.8,12940000
2018-06-26,2844.51,2829.99,2850.24,2803.79,12590000
2018-06-25,2859.34,2903.45,2908.62,2857.87,12190000
2018-06-22,2889.76,2855.58,2891.97,2837.14,12610000
2018-06-21,2875.81,2912,2940.59,2872.62,15440000
2018-06-20,2915.73,2889.98,2925.56,2872.16,14430000
2018-06-19,2907.82,2982.65,2984.97,2871.35,23050000
2018-06-15,3021.9,3037.45,3048.8,3008.73,14450000
2018-06-14,3044.16,3038.07,3066.05,3032.41,11550000
2018-06-13,3049.8,3071.46,3071.46,3044.12,11960000
2018-06-12,3079.8,3053.03,3081.45,3034.1,11330000
2018-06-11,3052.78,3057.34,3063.61,3037.91,10860000
2018-06-08,3067.15,3100.6,3100.68,3053.29,13470000
2018-06-07,3109.5,3121.18,3128.72,3105.58,12780000
2018-06-06,3115.18,3109.17,3117.53,3103.53,12020000
2018-06-05,3114.21,3088.01,3114.77,3080.05,11870000
2018-06-04,3091.19,3083.43,3098.4,3076.99,11460000
2018-06-01,3075.14,3084.75,3102.09,3059.79,12990000
2018-05-31,3095.47,3061.83,3098.08,3054.27,14050000
2018-05-30,3041.44,3081.14,3085.4,3041,15510000
2018-05-29,3120.46,3129.62,3143.21,3112.15,13570000
2018-05-28,3135.08,3136.81,3149.66,3115.96,12880000
2018-05-25,3141.3,3148.41,3156.73,3131.07,12860000
2018-05-24,3154.65,3167.94,3173.53,3152.07,12410000
2018-05-23,3168.96,3205.44,3205.44,3168.96,15780000
2018-05-22,3214.35,3211.25,3214.59,3192.23,14430000
2018-05-21,3213.84,3206.18,3219.74,3203.34,16450000
2018-05-18,3193.3,3151.08,3193.45,3144.78,13650000
2018-05-17,3154.28,3170.01,3172.77,3148.62,11400000
2018-05-16,3169.57,3180.23,3191.95,3166.81,13050000
2018-05-15,3192.12,3180.42,3192.81,3164.52,12450000
2018-05-14,3174.03,3167.04,3183.82,3163.48,12930000
2018-05-11,3163.26,3179.8,3180.76,3162.21,13070000
2018-05-10,3174.41,3169.05,3176.14,3155.53,13300000
2018-05-09,3159.15,3160.14,3165.37,3145.66,12260000
2018-05-08,3161.5,3135.3,3169.7,3134.06,14690000
2018-05-07,3136.64,3094.9,3136.84,3091.66,13890000
2018-05-04,3091.03,3093.12,3104.09,3086.78,11870000
2018-05-03,3100.86,3074.52,3105.66,3056.16,14000000
2018-05-02,3081.18,3087.41,3097.6,3064.76,13420000
2018-04-27,3082.23,3082.41,3088.03,3049.91,13120000
2018-04-26,3075.03,3119.5,3121.93,3067.93,13400000
2018-04-25,3117.97,3112.4,3122.91,3107,12730000
2018-04-24,3128.93,3069.75,3136.04,3069.75,16230000
2018-04-23,3068.01,3063.44,3085.06,3045.94,13170000
2018-04-20,3071.54,3105.46,3111.17,3065.92,15510000
2018-04-19,3117.38,3094.27,3127.44,3090.29,16010000
2018-04-18,3091.4,3091.91,3096.89,3041.62,15930000
2018-04-17,3066.8,3112.97,3118.76,3064.03,14720000
2018-04-16,3110.65,3152.89,3153.11,3096.1,15440000
2018-04-13,3159.05,3192.04,3197.9,3155.51,12760000
2018-04-12,3180.16,3203.28,3205.25,3177.05,14820000
2018-04-11,3208.08,3197.37,3220.85,3191.59,17590000
2018-04-10,3190.32,3144.26,3190.65,3139.08,16820000
2018-04-09,3138.29,3125.44,3146.09,3110.3,13960000
2018-04-04,3131.11,3147.05,3163.34,3128.87,14700000
2018-04-03,3136.63,3130.01,3144.33,3119.13,15220000
2018-04-02,3163.18,3169.78,3192.34,3159.99,17770000
2018-03-30,3168.9,3161.79,3177.72,3152.89,15460000
2018-03-29,3160.53,3127.26,3174.51,3098.25,17030000
2018-03-28,3122.29,3130.57,3165.21,3117.53,16350000
2018-03-27,3166.65,3164.8,3172.78,3143.57,18910000
2018-03-26,3133.72,3117.32,3134.28,3091.46,18640000
2018-03-23,3152.76,3172.77,3188.24,3110.66,27550000
2018-03-22,3263.48,3281.26,3288.8,3242.76,15040000
2018-03-21,3280.95,3299.73,3314.21,3268.88,16840000
2018-03-20,3290.64,3257.22,3292.57,3252.43,13990000
2018-03-19,3279.25,3264.93,3280.57,3251.05,13800000
2018-03-16,3269.88,3290.21,3300.57,3269.28,14120000
2018-03-15,3291.11,3277.51,3297.1,3273.2,14860000
2018-03-14,3291.38,3298.67,3304.98,3287.36,15750000
2018-03-13,3310.24,3324.12,3333.88,3307.38,17710000
2018-03-12,3326.7,3319.21,3333.56,3313.56,20650000
2018-03-09,3307.17,3291.43,3309.72,3283.56,16840000
2018-03-08,3288.41,3268.35,3289.5,3261.55,14980000
2018-03-07,3271.67,3288.86,3308.41,3264.76,16870000
2018-03-06,3289.64,3266.49,3290.25,3243.65,19540000
2018-03-05,3256.93,3255.87,3269.4,3236.72,14480000
2018-03-02,3254.53,3248.45,3269.94,3242.27,15090000
2018-03-01,3273.75,3235.09,3280.15,3228.58,15910000
2018-02-28,3259.41,3264.06,3277.83,3239.84,15100000
2018-02-27,3292.07,3328.67,3328.67,3284.63,17420000
2018-02-26,3329.57,3307.3,3335.99,3281.61,18860000
2018-02-23,3289.02,3275.43,3294.13,3258.49,14580000
2018-02-22,3268.56,3237.57,3269.92,3234.12,13870000
2018-02-14,3199.16,3188.25,3203.5,3171.38,10030000
2018-02-13,3184.96,3176.11,3219.22,3176.11,15150000
2018-02-12,3154.13,3128.37,3168.13,3113.61,15330000
2018-02-09,3129.85,3172.85,3180.11,3062.74,25640000
2018-02-08,3262.05,3281.05,3307.16,3225.71,20130000
2018-02-07,3309.26,3412.74,3425.54,3304.01,26090000
2018-02-06,3370.65,3418.01,3440.12,3364.22,28060000
2018-02-05,3487.5,3411.67,3487.72,3406.24,21770000
2018-02-02,3462.08,3419.22,3463.16,3388.86,20810000
2018-02-01,3446.98,3478.67,3495.09,3424.42,26050000
2018-01-31,3480.83,3470.51,3495.45,3454.73,20730000
2018-01-30,3488.01,3511.5,3523.05,3484.66,18640000
2018-01-29,3523,3563.64,3587.03,3510.27,23600000
2018-01-26,3558.13,3535.49,3574.9,3534.2,22270000
2018-01-25,3548.31,3555.17,3571.48,3528.03,24340000
2018-01-24,3559.47,3553.48,3569.49,3527.11,25300000
2018-01-23,3546.5,3504.34,3547.22,3504.34,23870000
2018-01-22,3501.36,3476.99,3503.39,3475.67,21750000
2018-01-19,3487.86,3481.62,3498.43,3474.29,24750000
2018-01-18,3474.75,3449.88,3476.55,3448.79,22000000
2018-01-17,3444.67,3438.58,3465.2,3430.51,26100000
2018-01-16,3436.59,3403.47,3437.58,3401.96,21150000
2018-01-15,3410.49,3428.95,3442.5,3402.31,23200000
2018-01-12,3428.94,3423.88,3435.42,3417.98,17410000
2018-01-11,3425.34,3415.59,3426.48,3405.64,17380000
2018-01-10,3421.83,3414.11,3430.21,3398.84,20910000
2018-01-09,3413.9,3406.11,3417.23,3403.59,19150000
2018-01-08,3409.48,3391.55,3412.73,3384.56,23620000
2018-01-05,3391.75,3386.46,3402.07,3380.24,21310000
2018-01-04,3385.71,3371,3392.83,3365.3,20700000
2018-01-03,3369.11,3347.74,3379.92,3345.29,21380000
2018-01-02,3348.33,3314.03,3349.05,3314.03,20230000
2017-12-29,3307.17,3295.25,3308.22,3292.77,14160000
2017-12-28,3296.38,3272.29,3304.1,3263.73,17540000
2017-12-27,3275.78,3302.46,3307.08,3270.35,16270000
2017-12-26,3306.12,3277.84,3307.3,3274.33,14240000
2017-12-25,3280.46,3296.21,3312.3,3270.44,14690000
2017-12-22,3297.06,3297.69,3307.33,3293.44,12400000
2017-12-21,3300.06,3281.12,3309.22,3267.4,14210000
2017-12-20,3287.61,3296.74,3300.21,3276.12,13770000
2017-12-19,3296.54,3266.02,3296.94,3266.02,11510000
2017-12-18,3267.92,3268.03,3280.54,3254.18,12070000
2017-12-15,3266.14,3287.53,3287.53,3259.39,13090000
2017-12-14,3292.44,3302.93,3309.53,3282.57,12050000
2017-12-13,3303.04,3278.4,3304.01,3273.32,11200000
2017-12-12,3280.81,3320.31,3320.31,3280.33,12460000
2017-12-11,3322.2,3290.49,3322.67,3288.29,13200000
2017-12-08,3289.99,3264.48,3297.13,3258.76,13320000
2017-12-07,3272.05,3283.28,3291.28,3259.16,13210000
2017-12-06,3293.96,3291.31,3296.2,3254.61,15160000
2017-12-05,3303.68,3301.69,3315.74,3300.51,20830000
2017-12-04,3309.62,3310.38,3324,3304.1,14810000
2017-12-01,3317.62,3315.11,3324.52,3302.44,13920000
2017-11-30,3317.19,3328.64,3340.92,3306.28,15660000
2017-11-29,3337.86,3335.57,3343.06,3305.57,18380000
2017-11-28,3333.66,3311.23,3333.8,3300.78,13820000
2017-11-27,3322.23,3346.66,3347.05,3315.26,16640000
2017-11-24,3353.82,3340.38,3360.75,3328.33,15960000
2017-11-23,3351.92,3425.01,3429.42,3342.33,21530000
2017-11-22,3430.46,3417.33,3442.18,3404.29,21360000
2017-11-21,3410.5,3382.36,3419.8,3377.6,19690000
2017-11-20,3392.4,3361.36,3393.11,3337.12,17650000
2017-11-17,3382.91,3392.68,3403.29,3373.3,24950000
2017-11-16,3399.25,3393.19,3409.65,3390.59,15670000
2017-11-15,3402.52,3416.21,3423.75,3396.38,16880000
2017-11-14,3429.55,3446.55,3450.49,3419.69,19650000
2017-11-13,3447.84,3435.18,3449.16,3435.08,20540000
2017-11-10,3432.67,3423.18,3438.79,3414.33,18930000
2017-11-09,3427.79,3410.67,3428.77,3408.62,15860000
2017-11-08,3415.46,3409.15,3434.49,3404.88,18540000
2017-11-07,3413.57,3389.47,3415.15,3387.95,19060000
2017-11-06,3388.17,3369.68,3389.38,3356.53,15460000
2017-11-03,3371.74,3377.74,3380.57,3347.36,17270000
2017-11-02,3383.31,3391.65,3391.65,3372.21,16690000
2017-11-01,3395.91,3393.97,3410.35,3388.6,18060000
2017-10-31,3393.34,3381,3397.1,3376.12,15350000
2017-10-30,3390.34,3413.87,3419.73,3357.28,20830000
2017-10-27,3416.81,3404.5,3421.1,3402.11,17030000
2017-10-26,3407.57,3397.52,3414.24,3391.45,18380000
2017-10-25,3396.9,3384.86,3398.3,3382.03,12310000
2017-10-24,3388.25,3376.6,3388.69,3374.12,13990000
2017-10-23,3380.7,3382.28,3385.29,3374.7,13080000
2017-10-20,3378.65,3363.51,3379.77,3360.1,12720000
2017-10-19,3370.17,3374.64,3378.74,3359.63,15850000
2017-10-18,3381.79,3373.53,3383.23,3371.92,15720000
2017-10-17,3372.04,3373.23,3382.41,3365.56,12540000
2017-10-16,3378.47,3393.21,3400.51,3374.77,17430000
2017-10-13,3390.52,3384.49,3395.75,3383.24,14000000
2017-10-12,3386.1,3385.53,3390.2,3372.53,16180000
2017-10-11,3388.28,3381.49,3395.78,3379.16,18150000
2017-10-10,3382.99,3373.34,3384.03,3358.8,17940000
2017-10-09,3374.38,3403.25,3410.17,3366.97,19170000
2017-09-29,3348.94,3340.31,3357.02,3340.31,14490000
2017-09-28,3339.64,3343.84,3344.6,3336.18,14940000
2017-09-27,3345.27,3340.82,3349.69,3340.3,14310000
2017-09-26,3343.58,3336.35,3347.16,3332.6,13260000
2017-09-25,3341.55,3344.59,3350.96,3334.94,16960000
2017-09-22,3352.53,3347.16,3356.45,3334.98,17920000
2017-09-21,3357.81,3364.7,3377.88,3356.88,19740000
2017-09-20,3366,3352.18,3370.1,3346.54,19220000
2017-09-19,3356.84,3365.53,3370.4,3344.71,19110000
2017-09-18,3362.86,3352.51,3371.75,3352.51,19030000
2017-09-15,3353.62,3365.15,3365.53,3345.33,21980000
2017-09-14,3371.43,3383.47,3391.64,3361.33,22130000
2017-09-13,3384.15,3374.72,3387.14,3366.54,19460000
2017-09-12,3379.49,3381.49,3391.07,3370.85,27290000
2017-09-11,3376.42,3365.35,3384.81,3360.05,21900000
2017-09-08,3365.24,3364.43,3380.89,3353.69,19840000
2017-09-07,3365.5,3383.63,3387.8,3363.18,22110000
2017-09-06,3385.39,3372.43,3391.01,3364.76,22910000
2017-09-05,3384.32,3377.2,3390.82,3371.57,21660000
2017-09-04,3379.58,3369.72,3381.4,3359.13,26740000
2017-09-01,3367.12,3365.99,3381.93,3358.47,28250000
2017-08-31,3360.81,3361.46,3367.36,3340.69,23440000
2017-08-30,3363.63,3361.82,3376.65,3357.08,24690000
2017-08-29,3365.23,3362.06,3374.59,3354.46,21950000
2017-08-28,3362.65,3336.13,3375.03,3336.13,25750000
2017-08-25,3331.52,3271.46,3331.91,3271.46,20580000
2017-08-24,3271.51,3287.96,3297.99,3266.36,16350000
2017-08-23,3287.7,3283.8,3299.46,3274.44,17980000
2017-08-22,3290.23,3287.61,3293.48,3274.94,18650000
2017-08-21,3286.91,3274.58,3287.52,3270.48,18610000
2017-08-18,3268.72,3253.24,3275.08,3248.08,19110000
2017-08-17,3268.43,3253.85,3269.14,3251.46,20360000
2017-08-16,3246.45,3247.85,3248.78,3228.87,17690000
2017-08-15,3251.26,3235.23,3263.59,3235.1,18230000
2017-08-14,3237.36,3206.04,3240.05,3206.04,19030000
2017-08-11,3208.54,3237.92,3245.12,3200.75,26300000
2017-08-10,3261.75,3269.73,3282.52,3236.18,24070000
2017-08-09,3275.57,3277.81,3277.94,3263.85,23560000
2017-08-08,3281.87,3277.19,3285.48,3269.66,25200000
2017-08-07,3279.46,3257.67,3280.1,3243.72,23120000
2017-08-04,3262.08,3269.32,3287.19,3261.31,27590000
2017-08-03,3272.93,3279.99,3293.37,3262.16,23330000
2017-08-02,3285.06,3288.52,3305.43,3282.04,26670000
2017-08-01,3292.64,3274.37,3292.64,3273.5,23720000
2017-07-31,3273.03,3252.75,3276.95,3251.19,24600000
2017-07-28,3253.24,3240.17,3256.37,3232.96,18220000
2017-07-27,3249.78,3243.76,3251.93,3220.64,22850000
2017-07-26,3247.67,3244.46,3264.85,3228.04,21350000
2017-07-25,3243.69,3249.14,3261.65,3233.14,20560000
2017-07-24,3250.6,3230.9,3261.1,3230.07,23310000
2017-07-21,3237.98,3236.59,3247.71,3231.96,20600000
2017-07-20,3244.86,3227.51,3246.24,3225.43,23210000
2017-07-19,3230.98,3181.4,3232.94,3179.73,27240000
2017-07-18,3187.57,3159.73,3187.67,3150.13,19060000
2017-07-17,3176.46,3219.79,3230.35,3139.5,26620000
2017-07-14,3222.42,3212.03,3222.98,3204.85,16010000
2017-07-13,3218.16,3192.36,3219.27,3190.34,19530000
2017-07-12,3197.54,3201.93,3215.2,3177.93,18690000
2017-07-11,3203.04,3201.52,3226.91,3199.22,18780000
2017-07-10,3212.63,3208.46,3223.34,3203.21,19890000
2017-07-07,3217.96,3203.82,3219.52,3195.29,17670000
2017-07-06,3212.44,3203.86,3215.95,3188.77,17580000
2017-07-05,3207.13,3179.22,3207.31,3174.71,14830000
2017-07-04,3182.8,3192.89,3193.06,3174.31,14110000
2017-07-03,3195.91,3192,3196.29,3177.02,14030000
2017-06-30,3192.43,3176.95,3193.24,3171.57,12150000
2017-06-29,3188.06,3174.98,3188.77,3174.28,12880000
2017-06-28,3173.2,3183.63,3193.44,3170.79,14650000
2017-06-27,3191.2,3183.42,3193.46,3172.46,14820000
2017-06-26,3185.44,3157,3187.89,3156.98,17360000
2017-06-23,3157.87,3138.44,3158.05,3118.09,15480000
2017-06-22,3147.45,3152.24,3186.98,3146.64,19130000
2017-06-21,3156.21,3148.99,3157.03,3132.62,13670000
2017-06-20,3140.01,3148.02,3150.46,3134.61,14120000
2017-06-19,3144.37,3122.16,3146.77,3121.78,13490000
2017-06-16,3123.17,3126.37,3134.25,3117.86,12970000
2017-06-15,3132.49,3125.59,3137.59,3117.08,14700000
2017-06-14,3130.67,3146.75,3149.17,3125.35,13830000
2017-06-13,3153.74,3134.01,3155.99,3131.04,12830000
2017-06-12,3139.88,3149.53,3164.95,3135.31,14670000
2017-06-09,3158.4,3147.45,3165.92,3146.11,16010000
2017-06-08,3150.33,3136.47,3153.26,3132.83,15230000
2017-06-07,3140.32,3101.76,3140.77,3098.95,17320000
2017-06-06,3102.13,3084.54,3102.86,3078.79,11340000
2017-06-05,3091.66,3102.11,3105.51,3084.83,13260000
2017-06-02,3105.54,3094.23,3110.39,3081.85,14250000
2017-06-01,3102.62,3108.42,3113.52,3097.68,16300000
2017-05-31,3117.18,3125.33,3143.28,3111.56,15290000
2017-05-26,3110.06,3101.29,3120.66,3100.39,15590000
2017-05-25,3107.83,3055.34,3114.66,3052.83,19140000
2017-05-24,3064.08,3047.57,3064.81,3022.3,13980000
2017-05-23,3061.95,3069.39,3084.24,3050.84,17830000
2017-05-22,3075.68,3087.17,3103.94,3063.15,15370000
2017-05-19,3090.63,3086.71,3095.48,3081.28,12960000
2017-05-18,3090.14,3082.33,3103.44,3077.96,14860000
2017-05-17,3104.44,3107.8,3119.58,3101.3,16870000
2017-05-16,3112.96,3082.87,3113.51,3060.53,17380000
2017-05-15,3090.23,3085.93,3098.91,3085.93,13570000
2017-05-12,3083.51,3054.11,3090.49,3051.87,15970000
2017-05-11,3061.5,3036.79,3063.56,3016.53,19130000
2017-05-10,3052.78,3078.17,3090.82,3051.59,16080000
2017-05-09,3080.53,3064.85,3084.21,3056.56,13510000
2017-05-08,3078.61,3090.07,3093.45,3067.69,18050000
2017-05-05,3103.04,3114.77,3117.61,3092.09,17620000
2017-05-04,3127.37,3127.11,3143.82,3111.39,17800000
2017-05-03,3135.35,3138.31,3148.29,3123.75,16380000
2017-05-02,3143.71,3147.23,3154.78,3136.54,15420000
2017-04-28,3154.66,3144.02,3154.73,3136.58,16290000
2017-04-27,3152.19,3131.35,3155,3097.33,21180000
2017-04-26,3140.85,3132.92,3152.95,3131.42,16990000
2017-04-25,3134.57,3123.89,3145.27,3117.45,15340000
2017-04-24,3129.53,3164.25,3164.25,3111.21,18630000
2017-04-21,3173.15,3170.29,3180.79,3158.63,16480000
2017-04-20,3172.1,3165.66,3178.18,3148.18,19090000
2017-04-19,3170.69,3184.67,3189.44,3147.07,21320000
2017-04-18,3196.71,3215.4,3225.05,3196.49,18870000
2017-04-17,3222.17,3229.95,3229.95,3199.91,21270000
2017-04-14,3246.07,3276.14,3276.71,3238.9,21450000
2017-04-13,3275.96,3265.22,3281.14,3261.49,20730000
2017-04-12,3273.83,3283.84,3284.93,3262.28,26940000
2017-04-11,3288.97,3266.22,3290.39,3244.4,28130000
2017-04-10,3269.39,3285.46,3285.46,3265.01,23270000
2017-04-07,3286.62,3280.62,3295.19,3275.05,23610000
